Date,Price,Open,High,Low,Vol.,Change %
05-02-2021,"56,607.30","57,795.10","57,795.10","56,315.60",0.05K,-2.06%
05-01-2021,"57,795.10","57,724.10","58,153.20","57,262.90",0.05K,0.12%
04/30/2021,"57,724.10","53,541.40","57,724.10","53,478.80",0.07K,7.81%
04/29/2021,"53,541.40","54,752.20","54,862.60","52,924.00",0.06K,-2.21%
04/28/2021,"54,752.20","55,009.70","55,590.80","54,351.40",0.07K,-0.47%
04/27/2021,"55,009.70","53,993.90","55,171.50","53,433.50",0.08K,1.88%
04/26/2021,"53,993.90","48,980.70","54,192.20","48,980.70",0.10K,10.24%
04/25/2021,"48,980.70","50,094.40","50,248.10","48,615.20",0.06K,-2.22%
04/24/2021,"50,094.40","51,086.10","51,086.10","49,424.80",0.06K,-1.94%
04/23/2021,"51,086.10","51,713.80","51,713.80","47,900.30",0.13K,-1.21%
04/22/2021,"51,713.80","53,767.80","55,011.50","51,695.20",0.12K,-3.82%
04/21/2021,"53,767.80","56,372.20","56,372.20","53,767.80",0.07K,-4.62%
04/20/2021,"56,371.40","55,609.40","56,891.20","53,962.70",0.08K,1.37%
04/19/2021,"55,609.40","56,182.40","57,094.90","55,491.10",0.08K,-1.02%
04/18/2021,"56,182.40","60,005.60","60,005.60","54,557.50",0.11K,-6.44%
04/17/2021,"60,049.20","61,359.40","62,315.90","60,049.20",0.07K,-2.14%
04/16/2021,"61,359.40","63,197.70","63,356.80","60,328.20",0.07K,-2.91%
04/15/2021,"63,197.70","62,964.40","63,472.60","62,500.00",0.05K,0.37%
04/14/2021,"62,964.40","63,517.70","64,477.90","62,142.60",0.08K,-0.87%
04/13/2021,"63,517.70","59,871.90","63,517.70","59,871.90",0.09K,6.09%
04-12-2021,"59,871.90","59,953.80","60,723.00","59,842.30",0.07K,-0.14%
04-11-2021,"59,953.80","59,769.80","60,199.60","59,611.00",0.05K,0.31%
04-10-2021,"59,769.80","58,135.50","60,916.40","58,135.50",0.10K,2.81%
04-09-2021,"58,135.50","58,050.00","58,545.70","57,963.60",0.05K,0.15%
